,,romaji,english,category,hiragana,katakana,kanji,source
929,,tomaru,to stay,verb,ろまる,,,intensive1.13
930,,au,to meet,verb,あう,,,intensive1.13
931,,tsukuru,to arrive,verb,つくる,,,intensive1.13
932,,oku,"to place, put on",verb,おく,,,intensive1.13
933,,magaru,turn to,verb,まがる,,,intensive1.13
934,,wasuremono,forgotten item,verb,わすれもの,,,intensive1.13
935,,saki,ahead,verb,さき,,,intensive1.13
936,,hashiru,to run,verb,はしる,,,intensive1.13
937,,isogu,to hurry,verb,いそぐ,,,intensive1.13
938,,kakeru,to put on (eyewear),verb,かける,,,intensive1.14
939,,shimeru,to put on,verb,しめる,,,intensive1.14
940,,suru,to put on (accessories),verb,する,,,intensive1.14
941,,kaburu,to put on (headgear),verb,かぶる,,,intensive1.14
942,,haku,to wear (lower garment/footwear),verb,はく,,,intensive1.14
943,,kiru,to wear (upper garment),verb,きる,,,intensive1.14
944,,nugu,"to take off (upper, lower garment)",verb,ぬぐ,,,intensive1.14
945,,hazusu,"to take off (accessories, eyewear, headgear, general)",verb,はずす,,,intensive1.14
946,,kimeru,to decide,verb,きめる,,,intensive1.14
947,,fukoukakushita?,failed,verb,ふこうかくした,,,intensive1.14
948,,agaru,"to go up, rise",verb,あがる,,,intensive1.15
949,,wasureru,to forget,verb,わすれる,,,intensive1.15
950,,chigau,to differ,verb,ちがう,,,intensive1.15
951,,hiku,to pull (string),verb,ひく,,,intensive1.15
952,,oriru,get off,verb,おりる,,,intensive1.15
953,,kiru,to cut,verb,きる,,,intensive1.15
954,,miseru,to show,verb,みせる,,,intensive1.15
955,,erabu,to go choose,verb,えらぶ,,,intensive1.15
956,,watasu,to handover,verb,わたす,,,intensive1.15
957,,kesu,"to erase, to turn off",verb,けす,,,intensive1.15
958,,morau,receive,verb,もらう,,,intensive1.15
959,,oboeru,to remember,verb,おぼえる,,,intensive1.15
960,,sotsugyousuru,to graduate,verb,そつぎょうする,,,intensive1.15
961,,wataru,to cross over,verb,わたる,,,intensive1.16
962,,undou suru,exercise,verb,うんどう　する,,,intensive1.16
963,,osu,to push button,verb,おす,,,intensive1.16
964,,arau,to wash,verb,あらう,,,intensive1.16
965,,naraberu,to line up,verb,なれべる,,,intensive1.16
966,,tsukareru,to get tired,verb,つかれる,,,intensive1.16
967,,tanomu,to ask question,verb,たのむ,,,intensive1.16
968,,magaru,to bend,verb,まがる,,,intensive1.16
969,,sagasu,to search,verb,さがす,,,intensive1.16
970,,yobu,to call,verb,よぶ,,,intensive1.16
971,,tatsu,to stand,verb,たつ,,,intensive1.17
972,,matsu,to wait,verb,まつ,,,intensive1.17
973,,mottekuru,to bring,verb,もってくる,,,intensive1.17
974,,itadaku,to receive,verb,いただく,,,intensive1.17
975,,yameru,to stop,verb,やめる,,,intensive1.17
976,,komaru,to be troubled,verb,こある,,,intensive1.17
977,,miseru,to show,verb,みせる,,,intensive1.17
978,,jogingu(suru),jogging,verb,,ジョギング（する）,,intensive1.17
979,,shitsureisuru,to excuse,verb,しつれいする,,,intensive1.17
980,,aku,be opened,verb,あく,,,intensive1.18
981,,akeru,to open,verb,あける,,,intensive1.18
982,,shimaru,be closed,verb,しまる,,,intensive1.18
983,,shimeru,to close,verb,しめる,,,intensive1.18
984,,kieru,turn off,verb,きえる,,,intensive1.18
985,,kesu,to turn off,verb,けす,,,intensive1.18
986,,atsumeru,to gather,verb,あつめる,,,intensive1.18
987,,atsumaru,gathered,verb,あつまる,,,intensive1.18
988,,naraberu,to align,verb,なれべる,,,intensive1.18
989,,narabu,be aligned,verb,ばらぶ,,,intensive1.18
990,,tomaru,stop,verb,ちまる,,,intensive1.18
991,,tomeru,to stop,verb,とめる,,,intensive1.18
992,,deru,to leave,verb,でる,,,intensive1.18
993,,kowasu,to break,verb,こわす,,,intensive1.18
994,,kowareru,to be broken,verb,こわれる,,,intensive1.18
995,,nareru,get to used,verb,なれる,,,intensive1.18
996,,nemurenakatta,cant sleep,verb,ねむれなかった,,,intensive1.18
997,,tooru,to pass,verb,とおる,,,intensive1.19
998,,iu,to say,verb,いう,,言,intensive1.19
999,,furu,"to fall (rain, snow)",verb,ふる,,,intensive1.19
1000,,omou,to think,verb,おもう,,,intensive1.19
1001,,goukaku suru,to pass (exam),verb,ごうかくする,,,intensive1.19
1002,,itanaku,to receive,verb,いたなく,,,intensive1.20
1003,,ogeru,to give,verb,おげる,,,intensive1.20
1004,,fuku,to blow,verb,ふく,,,intensive1.20
1005,,naku,"to cry, chirp",verb,なく,,,intensive1.20
1006,,kumoru,to become cloudy,verb,くもる,,,intensive1.20
1007,,hareru,"to be sunny, be clear",verb,はれる,,,intensive1.20
1008,,tobu,to fly,verb,とぶ,,,intensive1.20
1009,,kopi- (suru),copy,verb,,コピー（する）,,intensive1.20
1010,,suteru,to throw,verb,すてる,,,intensive1.20
1011,,nakunaru,to lose life,verb,なくなる,,,intensive1.20
1012,,ukeru,to take a rest,verb,うける,,,intensive1.20
1013,,saku,to bloom,verb,さく,,,intensive1.20
1014,,kendou,health,word,けんどう,,,hiragana book
1015,,rei,example,word,れい,,,hiragana book
1016,,oozei,many,,おおぜい,,,1.12
1017,,okyakusan,customer,,おきゃくさん,,,1.12
1018,,okinebou,overslept,,あさねぼう,,,1.12
1019,,shinbaisuru,to worry,verb,しんぱいする,,,1.12
1020,,abiru,,,,,,page 64
1021,,gomi,garbage,,ごみ,,,page 84. ch16
1022,,dasu,to put out,verb,だす,,,page 84. ch16
1023,,jikka,one's family home,,じっか,,,japanesepod101
1024,,katta,bought,,かった,,,japanesepod101
1025,,osu,to push,verb,おす,,,japanesepod101
1026,,kishi,knight,,きし,,,japanesepod101
1027,,sugu,immediately,,すぐ,,,japanesepod101
1028,,suki,like,,すき,,,japanesepod101
1029,,kesu,to erase,,けす,,,japanesepod101
1030,,kuji,lottery,,くじ,,,japanesepod101
1031,,ishiki,consciousness,,いしき,,,japanesepod101
1032,,shigusa,"gesture, mannerism",,しぐさ,,,japanesepod101
1033,,sasou,to invite,verb,さそう,,,japanesepod101
1034,,ososu,"to wake someone up, to cause to happen",, おそす,,,japanesepod101
1035,,sukoshi,a little,,すこし,,,japanesepod101
1036,,shikaku,square,,しかく,,,japanesepod101
1037,,kaesu,to return,verb,かえす,,,japanesepod101
1038,,usagi,rabbit,,うさぎ,,,japanesepod101
1039,,saisei,playback,,さいせい,,,japanesepod101
1040,,okashii,strange,adjective,おかしい,,,japanesepod101
1041,,okashi,sweets,,おかし,,,japanesepod101
1042,,deshi,apprentice,noun,でし,,,japanesepod101
1043,,tsudzuku,to continue,verb,つつ”く,,,japanesepod101
1044,,docchi,which,adverb,どっち,,,japanesepod101
1045,,ochitsuku,to calm down,verb,おちつく,,,japanesepod101
1046,,niji,rainbow,,にじ,,,japanesepod101
1047,,senaka,upper back,,せなか,,,japanesepod101
1048,,nattou,fermented soybean,,なっとう,,,japanesepod101
1049,,onegai,please,,おねがい,,,japanesepod101
1050,,mukasi,in the past,,,,昔,
1051,,yakata,mansion,,,,館,
1052,,hyaku,hundred,,ひゃく,,百,
1053,,tane,seed,,たね,,種,
1054,,kazu,number,,かず,,数,
1055,,tate,vertical,,たて,,,
1056,,hiza,knee,,ひざ,,,
1057,,fushigi,strange,,ふしぎ,,,
1058,,fukuzatsu,complicated,,ふくざつ,,,
1059,,keppeki,perfectionist,,けっぺき,,,
1060,,ame,candy,food,あめ,,,
1061,,kimono,traditional wear,,きもの,,,
1062,,tameiki,sign,,ためいき,,,
1063,,hare,"sunny, clear weather",,はれ,,,
1064,,raku,"convenient, comfortable",,らく,,,
1065,,nuigurumi,stuffed toy,,ぬいぐるみ,,,
